,name,position,pick,height_cm,weight_lb,c_year,age,points,reb,ast,TS,usg,o_bpm,d_bpm
150,Allen Crabbe,SG,31,198.8,197,Junior,21.2,18.3,6.0,2.6,0.568,26.6,6.2,2.1
151,Alex Abrines,SG,32,198.1,190,International,19.9,13.2,3.4,0.8,0.538,,,
152,Carrick Felix,SG,33,198.8,203,Senior,22.8,14.9,8.3,1.7,0.586,21.3,3.8,2.8
153,Isaiah Canaan,PG,34,182.9,188,Senior,22.1,21.5,3.5,4.2,0.576,30.9,6.4,-1.7
154,Glen Rice Jr.,SG,35,197.5,211,Junior,22.5,15.7,8.1,2.8,0.539,25.9,4.5,2.8
155,Ray McCallum Jr.,PG,36,187.3,191,Junior,22.0,18.4,5.0,4.4,0.578,24.4,6.5,0.5
156,Tony Mitchell,PF,37,205.1,236,Sophomore,21.2,14.4,9.5,0.9,0.53,22.7,-0.1,2.9
157,Nate Wolters,PG,38,194.9,196,Senior,22.1,21.1,5.3,5.5,0.604,29.8,9.3,-0.3
158,Jeff Withey,C,39,214.6,222,Senior,23.3,16.0,9.9,1.1,0.621,21.5,2.7,9.9
159,Grant Jerrett,PF,40,208.9,232,Freshman,19.9,10.5,7.2,1.1,0.535,15.6,2.7,4.7
160,Jamaal Franklin,SG,41,196.2,191,Junior,21.9,18.4,10.3,3.6,0.536,29.9,4.4,5.2
161,Pierre Jackson,PG,42,179.1,176,Senior,21.8,20.5,3.9,7.3,0.574,29.5,9.8,0.8
162,Ricky Ledo,SG,43,198.1,197,Freshman,20.8,,,,,,,
163,Mike Muscala,C,44,212.1,230,Senior,21.9,21.3,12.6,2.6,0.575,31.6,5.7,6.0
164,Marko Todorović,PF,45,210.8,240,International,21.2,12.9,10.1,1.4,0.563,,,
165,Erick Green,PG,46,190.5,178,Senior,22.1,24.7,3.9,3.7,0.592,32.4,11.3,-1.8
166,Raul Neto,PG,47,188.0,172,International,21.1,12.5,3.5,4.3,0.553,,,
167,Ryan Kelly,PF,48,212.7,228,Senior,22.2,16.0,6.6,2.1,0.586,21.4,6.5,4.8
168,Erik Murphy,PF,49,207.0,240,Senior,22.6,16.6,7.5,1.9,0.643,22.5,7.8,4.6
169,James Ennis,SF,50,200.7,201,Senior,22.9,18.0,7.3,2.3,0.616,24.9,5.6,2.0
170,Romero Osby,PF,51,203.2,232,Senior,23.1,20.2,8.9,1.6,0.604,26.0,6.5,2.4
171,Lorenzo Brown,PG,52,196.2,189,Junior,22.8,13.0,4.6,7.6,0.509,22.8,3.5,2.3
172,Colton Iverson,C,53,213.4,263,Senior,23.9,17.3,11.9,1.6,0.602,23.8,5.5,2.7
173,Arsalan Kazemi,PF,54,200.7,226,Senior,23.2,11.6,12.4,1.7,0.627,15.2,4.3,7.4
174,Joffrey Lauvergne,C,55,210.8,235,International,21.7,16.1,9.2,1.3,0.587,,,
175,Peyton Siva,PG,56,185.4,181,Senior,22.7,11.6,2.7,6.6,0.513,20.0,4.0,3.7
176,Alex Oriakhi,PF,57,205.7,250,Senior,22.9,15.7,11.7,0.5,0.674,18.5,4.8,3.8
177,Deshaun Thomas,SF,58,200.7,220,Junior,21.8,20.1,6.1,1.3,0.551,29.1,6.8,0.3
178,Bojan Dubljević,PF,59,205.7,250,International,21.7,21.7,7.0,1.0,0.622,,,
179,Janis Timma,SF,60,203.2,220,International,20.9,,,,,,,
180,Andrew Wiggins,SF,1,203.2,197,Freshman,19.3,18.7,6.4,1.7,0.563,26.3,5.4,3.0
